
Name                                               AppID
Power Manager (Ubuntu-22.04)                       Microsoft.AutoGenerated.{9CD8ECA0-1079-3F44-D1ED-C0D930705FF8}
PowerPoint                                         Microsoft.Office.POWERPNT.EXE.15
PowerShell 7 (arm64)                               Microsoft.AutoGenerated.{8A0B033C-23AF-BF38-1242-59AD24FD29D7}
PowerShell 7-preview (arm64)                       Microsoft.AutoGenerated.{2CD8F753-3D1B-D726-637E-4BEE59E8D804}
PowerToys (Preview)                                Microsoft.PowerToysWin32
Process Explorer                                   Microsoft.SysinternalsSuite_8wekyb3d8bbwe!procexp
Process Monitor                                    Microsoft.SysinternalsSuite_8wekyb3d8bbwe!Procmon
Publisher                                          Microsoft.Office.MSPUB.EXE.15
PulseAudio Volume Control (Ubuntu-22.04)           Microsoft.AutoGenerated.{7B7B2717-717C-4965-414A-4F78C5C56909}
Quick Assist                                       MicrosoftCorporationII.QuickAssist_8wekyb3d8bbwe!App
Quick Search                                       SAMSUNGELECTRONICSCO.LTD.SamsungQuickSearch_3c1yjt4zspk6g!App
Quick Share                                        SAMSUNGELECTRONICSCoLtd.SamsungQuickShare_wyx1vj98g3asy!App
Quicken                                            {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Quicken\qw.exe
RamMap                                             Microsoft.SysinternalsSuite_8wekyb3d8bbwe!RAMMap
RDCMan                                             Microsoft.SysinternalsSuite_8wekyb3d8bbwe!RDCMan
Reading Coach                                      Microsoft.ReadingCoach_8wekyb3d8bbwe!App
Recall (preview)                                   MicrosoftWindows.Client.AIX_cw5n1h2txyewy!AIXApp
Recovery Drive                                     {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\RecoveryDrive.exe
Registry Editor                                    {F38BF404-1D43-42F2-9305-67DE0B28FC23}\regedit.exe
Release Notes                                      {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\VideoLAN\VLC\NEWS.txt
Remote Desktop Connection                          Microsoft.Windows.RemoteDesktop
